candidate_id,department,admit
933951,E,Rejected
910365,B,Admitted
927783,D,Rejected
899904,A,Admitted
931437,D,Rejected
909317,B,Admitted
905025,A,Rejected
940069,F,Rejected
927754,D,Rejected
908667,B,Admitted
916943,C,Admitted
924426,D,Admitted
935784,E,Rejected
933216,E,Rejected
930747,D,Rejected
907192,B,Admitted
903476,A,Rejected
930801,D,Rejected
914901,C,Rejected
926439,D,Rejected
916680,C,Rejected
898191,A,Admitted
941490,F,Rejected
914050,C,Admitted
913571,C,Admitted
931142,D,Rejected
931194,D,Rejected
910863,B,Rejected
915828,C,Rejected
897927,A,Admitted
933081,E,Rejected
907785,B,Admitted
906367,A,Admitted
938448,F,Admitted
928708,D,Admitted
914255,C,Admitted
907407,B,Admitted
922423,C,Rejected
917949,C,Admitted
898964,A,Admitted
931229,D,Rejected
902168,A,Rejected
914982,C,Rejected
923456,D,Admitted
911456,B,Rejected
924335,D,Admitted
928511,D,Admitted
923328,D,Admitted
925681,D,Rejected
941974,F,Rejected
898569,A,Admitted
943365,F,Rejected
945785,F,Rejected
904641,A,Rejected
933596,E,Rejected
910083,B,Admitted
896843,A,Admitted
932432,E,Admitted
918797,C,Admitted
926840,D,Rejected
945010,F,Rejected
932418,E,Admitted
897210,A,Admitted
904735,A,Rejected
921905,C,Rejected
912506,B,Rejected
940227,F,Rejected
946244,F,Rejected
920804,C,Rejected
926295,D,Rejected
905445,A,Rejected
917470,C,Admitted
923466,D,Admitted
921918,C,Rejected
909699,B,Admitted
905670,A,Admitted
924891,D,Rejected
939198,F,Rejected
928026,D,Admitted
940675,F,Rejected
904584,A,Rejected
919698,C,Rejected
933592,E,Rejected
923432,D,Admitted
915073,C,Rejected
932907,E,Rejected
898460,A,Admitted
943804,F,Rejected
905880,A,Admitted
939467,F,Rejected
928845,D,Admitted
914217,C,Admitted
905878,A,Admitted
922949,C,Rejected
897111,A,Admitted
896865,A,Admitted
916475,C,Rejected
937014,E,Rejected
900583,A,Admitted
930361,D,Rejected
917638,C,Admitted
922773,C,Rejected
934191,E,Admitted
905420,A,Rejected
926142,D,Rejected
945574,F,Rejected
914337,C,Admitted
902499,A,Rejected
941497,F,Rejected
938377,E,Rejected
940353,F,Rejected
925518,D,Rejected
916263,C,Rejected
926566,D,Rejected
906766,B,Admitted
916730,C,Rejected
915805,C,Rejected
904085,A,Rejected
902058,A,Admitted
906842,B,Admitted
923521,D,Admitted
919758,C,Rejected
941817,F,Rejected
913633,C,Admitted
907405,B,Admitted
909450,B,Admitted
934802,E,Admitted
934561,E,Admitted
908177,B,Admitted
911948,B,Rejected
937512,E,Rejected
900147,A,Admitted
940300,F,Rejected
937753,E,Rejected
937617,E,Rejected
916184,C,Rejected
922088,C,Rejected
915378,C,Rejected
942375,F,Rejected
914411,C,Admitted
926853,D,Rejected
915755,C,Rejected
939278,F,Rejected
929592,D,Rejected
914809,C,Rejected
920281,C,Rejected
939377,F,Rejected
917054,C,Admitted
933351,E,Rejected
