"LOCATION,""INDICATOR"",""SUBJECT"",""MEASURE"",""FREQUENCY"",""TIME"",""Value"",""Flag Codes"""
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""1990"",1.093410134,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""1991"",1.491643429,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""1992"",1.765333295,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""1993"",1.845581412,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""1994"",1.755725145,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""1995"",1.450476885,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""1996"",2.095826864,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""1997"",1.757597685,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""1998"",2.529411793,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""1999"",2.402507067,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""2000"",2.84309125,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""2001"",2.611053228,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""2002"",2.590860844,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""2003"",2.068181753,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""2004"",2.024096489,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""2005"",2.366459608,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""2006"",2.751633883,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""2007"",3.014240503,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""2008"",2.903743267,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""2009"",3.059098005,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""2010"",2.573476791,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""2011"",3.328923464,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""2012"",3.606525898,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""2013"",3.641472817,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""2014"",3.679916382,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""2015"",2.945122004,"
"ZAF,""CROPYIELD"",""WHEAT"",""TONNE_HA"",""A"",""2016"",3.703745365,"
