Time;GDP;Shares;Wheat;exchange_rates;Investments;CPI;interst_rates;unemployment
1990;2950;0,4;3,6;3,0;0,4;0,7;4,4;8,0
1991;3000;0,4;3,8;3,0;0,4;0,7;5,3;8,0
1992;3647;0,4;4,2;3,1;0,4;0,7;4,4;8,0
1993;5463;0,3;5,2;3,5;0,5;0,6;3,4;8,0
1994;5432;0,3;4,7;3,6;0,5;0,6;4,4;8,0
1995;5677;0,3;4,8;4,0;0,5;0,6;4,4;8,0
1996;5334;0,3;5,0;4,4;0,5;0,6;4,4;7,0
1997;6433;0,3;5,4;5,0;0,5;0,6;4,4;7,0
1998;7654;0,3;6,6;6,2;0,5;0,6;4,4;7,0
1999;7686;0,3;5,7;6,4;0,5;0,6;4,4;7,0
2000;8764;0,4;8,0;7,8;0,5;0,7;4,4;8,0
2001;8977;0,4;9,0;11,5;0,5;0,7;5,3;8,0
2002;4533;0,4;6,0;7,9;0,5;0,7;5,3;8,0
2003;7668;0,3;7,0;6,7;0,5;0,6;5,3;8,0
2004;9761;0,3;7,4;5,9;0,5;0,6;5,3;8,0
2005;11987;0,3;6,3;6,3;0,5;0,6;5,3;8,0
2006;12309;0,3;8,6;7,4;0,5;0,6;5,4;7,0
2007;12987;0,3;8,4;8,0;0,5;0,6;5,4;7,0
2008;14657;0,3;9,0;10,3;0,5;0,6;5,4;7,0
2009;16774;0,3;10,8;7,5;0,4;0,6;5,4;7,0
2010;18974;0,7;9,6;6,9;0,4;0,7;5,4;8,0
2011;19345;0,6;8,9;7,6;0,4;0,7;5,4;8,0
2012;18765;0,6;9,3;9,1;0,4;0,7;5,4;8,0
2013;18819;0,6;9,7;10,8;0,4;0,7;5,4;8,0
2014;18714;0,7;12,0;12,3;0,4;0,7;4,8;8,0
2015;18610;0,7;10,2;15,2;0,4;0,7;4,8;8,0
